RuleID,RuleName,LostType,SeverityLevel,ApplicableFormationType,FormationProperties,GeologicalFeatures,MechanismShort,MechanismDetail,ConditionsText,ConditionsStructured,TimePattern,IdentificationFeatures,TypicalCurve,KeyParameters,MeasurementMethods,RiskLevel,TypicalLossRate,LossBehavior,Source
MR_047,压力窗口狭窄/特殊工况漏失-中度,多类型漏失,中度,"[""深水井地层"", ""温压耦合显著""]","{""environment"": ""深水"", ""TP"": ""强""}","[""深水效应""]",压力窗口狭窄/特殊工,温压耦合与井筒水力效应改变ECD，造成漏失/井涌风险并存。 若ECD受环境变化显著偏移，需结合实时监测判断漏失风险。,若ECD受环境变化显著偏移，需结合实时监测判断漏失风险。,"{""logic"": ""see KeyParameters"", ""key"": [""ECD"", ""温度T"", ""排量Q""]}",缓慢持续,"[""泵压下降"", ""泥浆池体积减少"", ""返出量下降""]",压力下降-流量上升,"[""ECD"", ""温度T"", ""排量Q""]","[""立管压力/泵压监"", ""PWD/MWD压"", ""泥浆池体积平衡""]",高,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_048,压力窗口狭窄/特殊工况漏失-中度,多类型漏失,中度,"[""压力窗口狭窄地层"", ""脆性层段""]","{""window"": ""窄"", ""brittle"": ""是""}","[""压力窗口""]",压力窗口狭窄/特殊工,孔隙压力与破裂压力间隔小，密度窗口不足导致漏失风险高。 当可操作密度窗口小于安全阈值时，需要更精细的压力管理。,当可操作密度窗口小于安全阈值时，需要更精细的压力管理。,"{""logic"": ""see KeyParameters"", ""key"": [""P_pore"", ""P_frac"", ""窗口宽度""]}",突发性,"[""起下钻后变化"", ""ECD升高"", ""泥浆池体积减少""]",泵压波动-返出量波动,"[""P_pore"", ""P_frac"", ""窗口宽度""]","[""立管压力/泵压监"", ""PWD/MWD压"", ""测井解释""]",高,低~中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_049,天然裂缝性漏失-中度,裂缝性漏失,中度,"[""天然裂缝发育砂岩"", ""构造裂缝带""]","{""fracture_density"": ""中"", ""aperture"": ""小~中""}","[""天然裂缝""]",天然裂缝性漏失-中度,在天然裂缝存在条件下，井底压力升高导致裂缝张开并产生漏失。 当ECD接近或超过裂缝开启压力时，漏失风险显著增加。,当ECD接近或超过裂缝开启压力时，漏失风险显著增加。,"{""logic"": ""see KeyParameters"", ""key"": [""ECD"", ""裂缝开启压力"", ""排量Q""]}",逐步加剧,"[""泥浆池体积减少"", ""泵压下降"", ""循环不稳定""]",泵压波动-返出量波动,"[""ECD"", ""裂缝开启压力"", ""排量Q""]","[""进出流量监测"", ""泥浆池体积平衡"", ""PWD/MWD压""]",中,中,可能伴随井壁稳定性问题，需要综合处理。,《井漏机理和对策》
MR_050,诱导裂缝/井壁破裂漏失-重度,诱导裂缝漏失,重度,"[""完整致密地层"", ""低渗砂岩""]","{""intact"": ""是"", ""permeability"": ""低""}","[""完整地层""]",诱导裂缝/井壁破裂漏,当井底压力超过地层破裂压力，诱导新裂缝起裂并导致漏失。 ECD>破裂压力是诱导裂缝漏失的必要条件之一。,ECD>破裂压力是诱导裂缝漏失的必要条件之一。,"{""logic"": ""see KeyParameters"", ""key"": [""破裂压力"", ""ECD"", ""密度ρ""]}",缓慢持续,"[""井底压力波动"", ""泵压下降"", ""返出量下降""]",泵压波动-返出量波动,"[""破裂压力"", ""ECD"", ""密度ρ""]","[""进出流量监测"", ""泥浆池体积平衡"", ""立管压力/泵压监""]",高,中~高,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_051,枯竭油气藏压差驱动漏失-轻度,渗透性漏失,轻度,"[""枯竭砂岩油藏"", ""采出程度高""]","{""pore_pressure"": ""低"", ""depletion"": ""高""}","[""枯竭""]",枯竭油气藏压差驱动漏,孔隙压力降低导致井底压差增大，钻井液沿渗透通道持续进入地层。 当静液柱压力显著高于孔隙压力时，渗透性漏失更易出现。,当静液柱压力显著高于孔隙压力时，渗透性漏失更易出现。,"{""logic"": ""see KeyParameters"", ""key"": [""孔隙压力"", ""密度ρ"", ""压差ΔP""]}",间歇性,"[""泥浆池体积减少"", ""泵压下降"", ""返出量下降""]",压力下降-流量上升,"[""孔隙压力"", ""密度ρ"", ""压差ΔP""]","[""进出流量监测"", ""PWD/MWD压"", ""泥浆池体积平衡""]",中,低~中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_052,枯竭油气藏压差驱动漏失-中度,渗透性漏失,中度,"[""注采不平衡区"", ""压力异常低""]","{""pore_pressure"": ""低"", ""heterogeneity"": ""强""}","[""压力异常区""]",枯竭油气藏压差驱动漏,非均质压力场可能导致局部漏失与漏速波动。 监测流量与泥浆池体积可用于识别持续漏失。,监测流量与泥浆池体积可用于识别持续漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""压力剖面"", ""流量"", ""池体积""]}",缓慢持续,"[""泵压下降"", ""泥浆池体积减少"", ""循环不稳定""]",压力下降-流量上升,"[""压力剖面"", ""流量"", ""池体积""]","[""泥浆池体积平衡"", ""PWD/MWD压"", ""测井解释""]",中,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_053,枯竭油气藏压差驱动漏失-中度,渗透性漏失,中度,"[""枯竭碳酸盐岩储层"", ""低孔隙压力""]","{""pore_pressure"": ""很低"", ""vuggy"": ""可能""}","[""采出区""]",枯竭油气藏压差驱动漏,枯竭程度越高，压差驱动越强，漏失更易发生。 适当降低密度或采用控压钻井有助于降低压差。,适当降低密度或采用控压钻井有助于降低压差。,"{""logic"": ""see KeyParameters"", ""key"": [""枯竭程度"", ""ECD"", ""返出量""]}",突发性,"[""起下钻后变化"", ""返出量下降"", ""泵压下降""]",压力下降-流量上升,"[""枯竭程度"", ""ECD"", ""返出量""]","[""进出流量监测"", ""立管压力/泵压监"", ""泥浆池体积平衡""]",中,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_054,枯竭油气藏压差驱动漏失-中度,渗透性漏失,中度,"[""注采不平衡区"", ""压力异常低""]","{""pore_pressure"": ""低"", ""heterogeneity"": ""强""}","[""压力异常区""]",枯竭油气藏压差驱动漏,非均质压力场可能导致局部漏失与漏速波动。 监测流量与泥浆池体积可用于识别持续漏失。,监测流量与泥浆池体积可用于识别持续漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""压力剖面"", ""流量"", ""池体积""]}",间歇性,"[""返出量下降"", ""起下钻后变化"", ""ECD升高""]",返出量下降-池体积下,"[""压力剖面"", ""流量"", ""池体积""]","[""PWD/MWD压"", ""进出流量监测"", ""泥浆池体积平衡""]",中,低~中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_055,压力窗口狭窄/特殊工况漏失-中度,多类型漏失,中度,"[""高温高压地层"", ""压力敏感""]","{""environment"": ""HPHT"", ""TP"": ""强""}","[""HPHT效应""]",压力窗口狭窄/特殊工,在HPHT条件下流变与压力响应变化，易出现漏失敏感区段。 控压钻井（MPD）可用于降低风险并维持窗口内作业。,控压钻井（MPD）可用于降低风险并维持窗口内作业。,"{""logic"": ""see KeyParameters"", ""key"": [""温度T"", ""压力P"", ""流变参数""]}",逐步加剧,"[""ECD升高"", ""泥浆池体积减少"", ""起下钻后变化""]",压力下降-流量上升,"[""温度T"", ""压力P"", ""流变参数""]","[""测井解释"", ""进出流量监测"", ""立管压力/泵压监""]",高,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_056,多孔/溶洞型漏失-中度,多孔-溶洞漏失,中度,"[""碳酸盐岩"", ""喀斯特储层""]","{""vuggy"": ""发育"", ""connectivity"": ""一般""}","[""溶洞"", ""孔洞""]",多孔/溶洞型漏失-中,钻井液进入孔洞/溶洞空间，因储集空间大导致漏失。 钻遇孔洞后返出量下降，压力响应异常，漏失率快速上升。,钻遇孔洞后返出量下降，压力响应异常，漏失率快速上升。,"{""logic"": ""see KeyParameters"", ""key"": [""孔洞尺度"", ""连通性"", ""返出量""]}",间歇性,"[""泵压下降"", ""井底压力波动"", ""泥浆池体积减少""]",返出量下降-池体积下,"[""孔洞尺度"", ""连通性"", ""返出量""]","[""PWD/MWD压"", ""立管压力/泵压监"", ""测井解释""]",中,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_057,压力窗口狭窄/特殊工况漏失-中度,多类型漏失,中度,"[""压力窗口狭窄地层"", ""脆性层段""]","{""window"": ""窄"", ""brittle"": ""是""}","[""压力窗口""]",压力窗口狭窄/特殊工,孔隙压力与破裂压力间隔小，密度窗口不足导致漏失风险高。 当可操作密度窗口小于安全阈值时，需要更精细的压力管理。,当可操作密度窗口小于安全阈值时，需要更精细的压力管理。,"{""logic"": ""see KeyParameters"", ""key"": [""P_pore"", ""P_frac"", ""窗口宽度""]}",逐步加剧,"[""循环不稳定"", ""返出量下降"", ""ECD升高""]",返出量下降-池体积下,"[""P_pore"", ""P_frac"", ""窗口宽度""]","[""测井解释"", ""进出流量监测"", ""立管压力/泵压监""]",高,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_058,多孔/溶洞型漏失-重度,多孔-溶洞漏失,重度,"[""溶蚀发育碳酸盐岩"", ""孔洞发育带""]","{""vuggy"": ""发育"", ""connectivity"": ""较好""}","[""孔洞-裂缝复合""]",多孔/溶洞型漏失-重,孔洞与裂缝连通形成高导流通道，漏失可快速升级。 若桥堵能力不足或颗粒级配不匹配，漏失持续。,若桥堵能力不足或颗粒级配不匹配，漏失持续。,"{""logic"": ""see KeyParameters"", ""key"": [""颗粒级配"", ""桥堵能力"", ""漏速""]}",逐步加剧,"[""返出量下降"", ""循环不稳定"", ""泥浆池体积减少""]",返出量下降-池体积下,"[""颗粒级配"", ""桥堵能力"", ""漏速""]","[""泥浆池体积平衡"", ""PWD/MWD压"", ""测井解释""]",高,高,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_059,枯竭油气藏压差驱动漏失-中度,渗透性漏失,中度,"[""注采不平衡区"", ""压力异常低""]","{""pore_pressure"": ""低"", ""heterogeneity"": ""强""}","[""压力异常区""]",枯竭油气藏压差驱动漏,非均质压力场可能导致局部漏失与漏速波动。 监测流量与泥浆池体积可用于识别持续漏失。,监测流量与泥浆池体积可用于识别持续漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""压力剖面"", ""流量"", ""池体积""]}",缓慢持续,"[""循环不稳定"", ""起下钻后变化"", ""井底压力波动""]",压力下降-流量上升,"[""压力剖面"", ""流量"", ""池体积""]","[""测井解释"", ""立管压力/泵压监"", ""泥浆池体积平衡""]",中,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_060,多孔/溶洞型漏失-中度,多孔-溶洞漏失,中度,"[""碳酸盐岩"", ""喀斯特储层""]","{""vuggy"": ""发育"", ""connectivity"": ""一般""}","[""溶洞"", ""孔洞""]",多孔/溶洞型漏失-中,钻井液进入孔洞/溶洞空间，因储集空间大导致漏失。 钻遇孔洞后返出量下降，压力响应异常，漏失率快速上升。,钻遇孔洞后返出量下降，压力响应异常，漏失率快速上升。,"{""logic"": ""see KeyParameters"", ""key"": [""孔洞尺度"", ""连通性"", ""返出量""]}",逐步加剧,"[""泥浆池体积减少"", ""返出量下降"", ""ECD升高""]",返出量下降-池体积下,"[""孔洞尺度"", ""连通性"", ""返出量""]","[""PWD/MWD压"", ""泥浆池体积平衡"", ""立管压力/泵压监""]",中,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_061,高渗透性基质漏失-轻度,渗透性漏失,轻度,"[""高渗透砂岩"", ""高孔隙砂岩""]","{""permeability"": ""中高"", ""porosity"": ""中等""}","[""多孔介质""]",高渗透性基质漏失-轻,钻井液在高渗透多孔介质中沿孔隙—喉道渗流进入地层造成漏失。 当井底压差增大或滤失控制不足时，渗透性漏失加剧。,当井底压差增大或滤失控制不足时，渗透性漏失加剧。,"{""logic"": ""see KeyParameters"", ""key"": [""渗透率k"", ""孔隙度φ"", ""压差ΔP""]}",缓慢持续,"[""返出量下降"", ""循环不稳定"", ""井底压力波动""]",返出量下降-池体积下,"[""渗透率k"", ""孔隙度φ"", ""压差ΔP""]","[""测井解释"", ""PWD/MWD压"", ""泥浆池体积平衡""]",低,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_062,高渗透性基质漏失-轻度,渗透性漏失,轻度,"[""高渗透砂岩"", ""高孔隙砂岩""]","{""permeability"": ""中高"", ""porosity"": ""中等""}","[""多孔介质""]",高渗透性基质漏失-轻,钻井液在高渗透多孔介质中沿孔隙—喉道渗流进入地层造成漏失。 当井底压差增大或滤失控制不足时，渗透性漏失加剧。,当井底压差增大或滤失控制不足时，渗透性漏失加剧。,"{""logic"": ""see KeyParameters"", ""key"": [""渗透率k"", ""孔隙度φ"", ""压差ΔP""]}",缓慢持续,"[""泥浆池体积减少"", ""循环不稳定"", ""井底压力波动""]",压力下降-流量上升,"[""渗透率k"", ""孔隙度φ"", ""压差ΔP""]","[""PWD/MWD压"", ""测井解释"", ""泥浆池体积平衡""]",低,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_063,压力窗口狭窄/特殊工况漏失-中度,多类型漏失,中度,"[""深水井地层"", ""温压耦合显著""]","{""environment"": ""深水"", ""TP"": ""强""}","[""深水效应""]",压力窗口狭窄/特殊工,温压耦合与井筒水力效应改变ECD，造成漏失/井涌风险并存。 若ECD受环境变化显著偏移，需结合实时监测判断漏失风险。,若ECD受环境变化显著偏移，需结合实时监测判断漏失风险。,"{""logic"": ""see KeyParameters"", ""key"": [""ECD"", ""温度T"", ""排量Q""]}",逐步加剧,"[""井底压力波动"", ""循环不稳定"", ""泵压下降""]",泵压波动-返出量波动,"[""ECD"", ""温度T"", ""排量Q""]","[""立管压力/泵压监"", ""测井解释"", ""PWD/MWD压""]",高,中,可能伴随井壁稳定性问题，需要综合处理。,《井漏机理和对策》
MR_064,高渗透性基质漏失-重度,渗透性漏失,重度,"[""薄互层储层"", ""中高渗透砂岩""]","{""permeability"": ""极高"", ""porosity"": ""高""}","[""层间渗透差异""]",高渗透性基质漏失-重,互层/非均质渗透差异使漏失呈间歇或分段增强。 采用更强滤失控制或降低压差可降低漏失。,采用更强滤失控制或降低压差可降低漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""ECD"", ""密度ρ"", ""压差ΔP""]}",突发性,"[""ECD升高"", ""泥浆池体积减少"", ""循环不稳定""]",压力稳定-池体积缓慢,"[""ECD"", ""密度ρ"", ""压差ΔP""]","[""泥浆池体积平衡"", ""立管压力/泵压监"", ""测井解释""]",中高,中~高,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_065,枯竭油气藏压差驱动漏失-轻度,渗透性漏失,轻度,"[""枯竭砂岩油藏"", ""采出程度高""]","{""pore_pressure"": ""低"", ""depletion"": ""高""}","[""枯竭""]",枯竭油气藏压差驱动漏,孔隙压力降低导致井底压差增大，钻井液沿渗透通道持续进入地层。 当静液柱压力显著高于孔隙压力时，渗透性漏失更易出现。,当静液柱压力显著高于孔隙压力时，渗透性漏失更易出现。,"{""logic"": ""see KeyParameters"", ""key"": [""孔隙压力"", ""密度ρ"", ""压差ΔP""]}",间歇性,"[""返出量下降"", ""井底压力波动"", ""ECD升高""]",压力下降-流量上升,"[""孔隙压力"", ""密度ρ"", ""压差ΔP""]","[""泥浆池体积平衡"", ""立管压力/泵压监"", ""PWD/MWD压""]",中,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_066,枯竭油气藏压差驱动漏失-中度,渗透性漏失,中度,"[""枯竭碳酸盐岩储层"", ""低孔隙压力""]","{""pore_pressure"": ""很低"", ""vuggy"": ""可能""}","[""采出区""]",枯竭油气藏压差驱动漏,枯竭程度越高，压差驱动越强，漏失更易发生。 适当降低密度或采用控压钻井有助于降低压差。,适当降低密度或采用控压钻井有助于降低压差。,"{""logic"": ""see KeyParameters"", ""key"": [""枯竭程度"", ""ECD"", ""返出量""]}",逐步加剧,"[""ECD升高"", ""泵压下降"", ""起下钻后变化""]",压力稳定-池体积缓慢,"[""枯竭程度"", ""ECD"", ""返出量""]","[""测井解释"", ""PWD/MWD压"", ""立管压力/泵压监""]",中,中,可能伴随井壁稳定性问题，需要综合处理。,《井漏机理和对策》
MR_067,多孔/溶洞型漏失-极重度,多孔-溶洞漏失,极重度,"[""大规模喀斯特碳酸"", ""溶洞群发育区""]","{""vuggy"": ""极发育"", ""connectivity"": ""极好""}","[""大型溶洞系统"", ""连通性强""]",多孔/溶洞型漏失-极,大型溶洞系统可能造成持续失返，难以恢复循环。 当溶洞系统连通性高时，可能出现全漏失。,当溶洞系统连通性高时，可能出现全漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""返出量"", ""井底压力"", ""泵入排量""]}",突发性,"[""泵压下降"", ""起下钻后变化"", ""返出量下降""]",返出量下降-池体积下,"[""返出量"", ""井底压力"", ""泵入排量""]","[""立管压力/泵压监"", ""泥浆池体积平衡"", ""PWD/MWD压""]",极高,接近泵入排量,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_068,天然裂缝性漏失-中度,裂缝性漏失,中度,"[""层理/弱面发育页"", ""裂缝网络区""]","{""fracture_density"": ""中高"", ""aperture"": ""中""}","[""弱面"", ""层理裂缝""]",天然裂缝性漏失-中度,弱面/层理裂缝受应力与压力波动影响易开启，表现为间歇性漏失。 降低ECD或改善滤失控制有助于抑制裂缝性漏失。,降低ECD或改善滤失控制有助于抑制裂缝性漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""井底压力"", ""泵启停"", ""返出量""]}",缓慢持续,"[""泵压下降"", ""ECD升高"", ""泥浆池体积减少""]",返出量下降-池体积下,"[""井底压力"", ""泵启停"", ""返出量""]","[""进出流量监测"", ""PWD/MWD压"", ""泥浆池体积平衡""]",中,中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_069,多孔/溶洞型漏失-极重度,多孔-溶洞漏失,极重度,"[""大规模喀斯特碳酸"", ""溶洞群发育区""]","{""vuggy"": ""极发育"", ""connectivity"": ""极好""}","[""大型溶洞系统"", ""连通性强""]",多孔/溶洞型漏失-极,大型溶洞系统可能造成持续失返，难以恢复循环。 当溶洞系统连通性高时，可能出现全漏失。,当溶洞系统连通性高时，可能出现全漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""返出量"", ""井底压力"", ""泵入排量""]}",间歇性,"[""泥浆池体积减少"", ""井底压力波动"", ""ECD升高""]",泵压波动-返出量波动,"[""返出量"", ""井底压力"", ""泵入排量""]","[""立管压力/泵压监"", ""进出流量监测"", ""PWD/MWD压""]",极高,接近泵入排量,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_070,诱导裂缝/井壁破裂漏失-重度,诱导裂缝漏失,重度,"[""盐膏/软弱层"", ""井壁稳定性差""]","{""creep"": ""可能"", ""strength"": ""低""}","[""井壁失稳""]",诱导裂缝/井壁破裂漏,井壁失稳与裂缝扩展耦合，可导致漏失与井眼异常并存。 若伴随井壁扩径/塌陷等异常，漏失可能进一步加重。,若伴随井壁扩径/塌陷等异常，漏失可能进一步加重。,"{""logic"": ""see KeyParameters"", ""key"": [""井径变化"", ""井壁稳定"", ""返出量""]}",缓慢持续,"[""井底压力波动"", ""循环不稳定"", ""ECD升高""]",压力稳定-池体积缓慢,"[""井径变化"", ""井壁稳定"", ""返出量""]","[""PWD/MWD压"", ""测井解释"", ""泥浆池体积平衡""]",高,中~高,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_071,压力窗口狭窄/特殊工况漏失-中度,多类型漏失,中度,"[""高温高压地层"", ""压力敏感""]","{""environment"": ""HPHT"", ""TP"": ""强""}","[""HPHT效应""]",压力窗口狭窄/特殊工,在HPHT条件下流变与压力响应变化，易出现漏失敏感区段。 控压钻井（MPD）可用于降低风险并维持窗口内作业。,控压钻井（MPD）可用于降低风险并维持窗口内作业。,"{""logic"": ""see KeyParameters"", ""key"": [""温度T"", ""压力P"", ""流变参数""]}",突发性,"[""ECD升高"", ""返出量下降"", ""泵压下降""]",压力下降-流量上升,"[""温度T"", ""压力P"", ""流变参数""]","[""PWD/MWD压"", ""进出流量监测"", ""测井解释""]",高,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_072,枯竭油气藏压差驱动漏失-中度,渗透性漏失,中度,"[""注采不平衡区"", ""压力异常低""]","{""pore_pressure"": ""低"", ""heterogeneity"": ""强""}","[""压力异常区""]",枯竭油气藏压差驱动漏,非均质压力场可能导致局部漏失与漏速波动。 监测流量与泥浆池体积可用于识别持续漏失。,监测流量与泥浆池体积可用于识别持续漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""压力剖面"", ""流量"", ""池体积""]}",逐步加剧,"[""起下钻后变化"", ""循环不稳定"", ""泵压下降""]",返出量下降-池体积下,"[""压力剖面"", ""流量"", ""池体积""]","[""进出流量监测"", ""PWD/MWD压"", ""立管压力/泵压监""]",中,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_073,天然裂缝性漏失-中度,裂缝性漏失,中度,"[""天然裂缝发育砂岩"", ""构造裂缝带""]","{""fracture_density"": ""中"", ""aperture"": ""小~中""}","[""天然裂缝""]",天然裂缝性漏失-中度,在天然裂缝存在条件下，井底压力升高导致裂缝张开并产生漏失。 当ECD接近或超过裂缝开启压力时，漏失风险显著增加。,当ECD接近或超过裂缝开启压力时，漏失风险显著增加。,"{""logic"": ""see KeyParameters"", ""key"": [""ECD"", ""裂缝开启压力"", ""排量Q""]}",缓慢持续,"[""泵压下降"", ""起下钻后变化"", ""ECD升高""]",泵压波动-返出量波动,"[""ECD"", ""裂缝开启压力"", ""排量Q""]","[""泥浆池体积平衡"", ""进出流量监测"", ""PWD/MWD压""]",中,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_074,多孔/溶洞型漏失-重度,多孔-溶洞漏失,重度,"[""溶蚀发育碳酸盐岩"", ""孔洞发育带""]","{""vuggy"": ""发育"", ""connectivity"": ""较好""}","[""孔洞-裂缝复合""]",多孔/溶洞型漏失-重,孔洞与裂缝连通形成高导流通道，漏失可快速升级。 若桥堵能力不足或颗粒级配不匹配，漏失持续。,若桥堵能力不足或颗粒级配不匹配，漏失持续。,"{""logic"": ""see KeyParameters"", ""key"": [""颗粒级配"", ""桥堵能力"", ""漏速""]}",缓慢持续,"[""泥浆池体积减少"", ""泵压下降"", ""起下钻后变化""]",压力下降-流量上升,"[""颗粒级配"", ""桥堵能力"", ""漏速""]","[""进出流量监测"", ""立管压力/泵压监"", ""泥浆池体积平衡""]",高,高,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_075,多孔/溶洞型漏失-极重度,多孔-溶洞漏失,极重度,"[""大规模喀斯特碳酸"", ""溶洞群发育区""]","{""vuggy"": ""极发育"", ""connectivity"": ""极好""}","[""大型溶洞系统"", ""连通性强""]",多孔/溶洞型漏失-极,大型溶洞系统可能造成持续失返，难以恢复循环。 当溶洞系统连通性高时，可能出现全漏失。,当溶洞系统连通性高时，可能出现全漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""返出量"", ""井底压力"", ""泵入排量""]}",缓慢持续,"[""起下钻后变化"", ""泵压下降"", ""ECD升高""]",压力下降-流量上升,"[""返出量"", ""井底压力"", ""泵入排量""]","[""PWD/MWD压"", ""立管压力/泵压监"", ""进出流量监测""]",极高,接近泵入排量,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
MR_076,高渗透性基质漏失-轻度,渗透性漏失,轻度,"[""高渗透砂岩"", ""高孔隙砂岩""]","{""permeability"": ""中高"", ""porosity"": ""中等""}","[""多孔介质""]",高渗透性基质漏失-轻,钻井液在高渗透多孔介质中沿孔隙—喉道渗流进入地层造成漏失。 当井底压差增大或滤失控制不足时，渗透性漏失加剧。,当井底压差增大或滤失控制不足时，渗透性漏失加剧。,"{""logic"": ""see KeyParameters"", ""key"": [""渗透率k"", ""孔隙度φ"", ""压差ΔP""]}",间歇性,"[""返出量下降"", ""ECD升高"", ""泵压下降""]",压力下降-流量上升,"[""渗透率k"", ""孔隙度φ"", ""压差ΔP""]","[""进出流量监测"", ""测井解释"", ""泥浆池体积平衡""]",低,低~中,可能伴随井壁稳定性问题，需要综合处理。,《井漏机理和对策》
MR_077,天然裂缝性漏失-中度,裂缝性漏失,中度,"[""层理/弱面发育页"", ""裂缝网络区""]","{""fracture_density"": ""中高"", ""aperture"": ""中""}","[""弱面"", ""层理裂缝""]",天然裂缝性漏失-中度,弱面/层理裂缝受应力与压力波动影响易开启，表现为间歇性漏失。 降低ECD或改善滤失控制有助于抑制裂缝性漏失。,降低ECD或改善滤失控制有助于抑制裂缝性漏失。,"{""logic"": ""see KeyParameters"", ""key"": [""井底压力"", ""泵启停"", ""返出量""]}",逐步加剧,"[""起下钻后变化"", ""泵压下降"", ""井底压力波动""]",压力稳定-池体积缓慢,"[""井底压力"", ""泵启停"", ""返出量""]","[""PWD/MWD压"", ""立管压力/泵压监"", ""进出流量监测""]",中,中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_078,高渗透性基质漏失-轻度,渗透性漏失,轻度,"[""高渗透砂岩"", ""高孔隙砂岩""]","{""permeability"": ""中高"", ""porosity"": ""中等""}","[""多孔介质""]",高渗透性基质漏失-轻,钻井液在高渗透多孔介质中沿孔隙—喉道渗流进入地层造成漏失。 当井底压差增大或滤失控制不足时，渗透性漏失加剧。,当井底压差增大或滤失控制不足时，渗透性漏失加剧。,"{""logic"": ""see KeyParameters"", ""key"": [""渗透率k"", ""孔隙度φ"", ""压差ΔP""]}",逐步加剧,"[""ECD升高"", ""泥浆池体积减少"", ""循环不稳定""]",返出量下降-池体积下,"[""渗透率k"", ""孔隙度φ"", ""压差ΔP""]","[""泥浆池体积平衡"", ""立管压力/泵压监"", ""PWD/MWD压""]",低,低~中,若不干预可能升级为严重漏失或全漏失，需及时采取控压与堵漏。,《井漏机理和对策》
MR_079,高渗透性基质漏失-中度,渗透性漏失,中度,"[""砂砾岩"", ""冲积砂砾层""]","{""permeability"": ""高"", ""porosity"": ""中高""}","[""高渗通道""]",高渗透性基质漏失-中,在高渗通道发育区，压差驱动渗流增强导致漏速升高。 提高排量或提高密度使井底压力上升，漏失率增加。,提高排量或提高密度使井底压力上升，漏失率增加。,"{""logic"": ""see KeyParameters"", ""key"": [""滤失量"", ""黏度"", ""排量Q""]}",突发性,"[""泥浆池体积减少"", ""井底压力波动"", ""返出量下降""]",返出量下降-池体积下,"[""滤失量"", ""黏度"", ""排量Q""]","[""PWD/MWD压"", ""泥浆池体积平衡"", ""进出流量监测""]",中,中,可通过降低ECD与滤失控制措施缓解；必要时配合堵漏。,《井漏机理和对策》
